words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
#,1,filter_14_Inf_frm01_s07.wav,Temporal,14,Tina got cued to make a quicker escape,4,Temporal_14,2,0.0,0,T 14,royalblue
#,1,filter_Inf_0.8_frm01_s14.wav,Spectral,0.8,We saw eight tiny icicles below our roof,7,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
thats the ultimate awesome thing,7,2_6.wav,Anchor_fullyIntelligible,0,That's the ultimate awesome thing,10,Anchor_fullyIntelligible_0,2,12.121212121212121,95,Full,coral
i decided to do it anyway,7,1_33.wav,Anchor_fullyIntelligible,0,They decided to do it anyway,13,Anchor_fullyIntelligible_0,2,17.857142857142858,91,Full,coral
#,1,filter_14_Inf_frm01_s06.wav,Temporal,14,Charlie did you think to measure the tree,16,Temporal_14,2,0.0,0,T 14,royalblue
#,1,filter_14_Inf_frm01_s31.wav,Temporal,14,Was she just naturally sloppy about everything but her physical appearance,19,Temporal_14,2,0.0,0,T 14,royalblue
right,1,filter_12_Inf_frm01_s32.wav,Temporal,12,Is a relaxed home atmosphere enough to help her outgrow these traits,22,Temporal_12,2,0.0,14,T 12,cornflowerblue
they paly anywhere thy could draw a crowd,7,1_34.wav,Anchor_fullyIntelligible,0,They played anywhere they could draw a crowd,25,Anchor_fullyIntelligible_0,2,13.636363636363635,94,Full,coral
#,1,filter_14_Inf_frm01_s26.wav,Temporal,14,Laugh dance and sing if fortune smiles upon you,28,Temporal_14,2,0.0,0,T 14,royalblue
expected voters,3,filter_Inf_1_frm01_s25.wav,Spectral,1,Military personnel are expected to obey government orders,31,Spectral_1,2,1.7543859649122806,39,S 1,darkgreen
alright,3,filter_Inf_0.4_2_54.wav,Anchor_Spectral_unIntelligible,0.4,And that was not right,34,Anchor_Spectral_unIntelligible_0.4,2,0.0,41,S 0.4,limegreen
#,1,filter_4_Inf_1_10.wav,Anchor_Temporal_unIntelligible,4,The film brings out all the tensions and colors of the time,37,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
#,1,filter_12_Inf_frm01_s04.wav,Temporal,12,A fifth wheel caught speeding,40,Temporal_12,2,0.0,0,T 12,cornflowerblue
#,1,filter_Inf_0.4_1_65.wav,Anchor_Spectral_unIntelligible,0.4,They exchanged gifts,43,Anchor_Spectral_unIntelligible_0.4,2,0.0,0,S 0.4,limegreen
#,1,filter_4_Inf_1_1.wav,Anchor_Temporal_unIntelligible,4,"she called her brother, Randy",46,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
medical assistance,3,filter_Inf_0.8_frm01_s13.wav,Spectral,0.8,Call an ambulance for medical assistance,49,Spectral_0.8,2,5.0,62,S 0.8,forestgreen
2 years,2,filter_Inf_1_frm01_s05.wav,Spectral,1,It's been about two years since Davey kept shotguns,52,Spectral_1,2,1.9607843137254901,21,S 1,darkgreen
dont ask me,2,filter_Inf_0.8_frm01_s11.wav,Spectral,0.8,Don't ask me to carry an oily rag like that,55,Spectral_0.8,2,4.651162790697675,37,S 0.8,forestgreen
#,1,filter_12_Inf_frm01_s15.wav,Temporal,12,Each untimely income loss coincided with the breakdown of a heating system part,58,Temporal_12,2,0.0,0,T 12,cornflowerblue
judges,2,filter_Inf_1_frm01_s08.wav,Spectral,1,Joe books very few judges,61,Spectral_1,2,4.0,39,S 1,darkgreen
big brother,1,filter_14_Inf_frm01_s20.wav,Temporal,14,The frightened child was gently subdued by his big brother,64,Temporal_14,2,3.4482758620689653,32,T 14,royalblue
#,1,filter_Inf_0.8_frm01_s03.wav,Spectral,0.8,Play in the street up ahead,67,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
i do like parties tho,4,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,70,Anchor_fullyIntelligible_0,2,16.666666666666664,93,Full,coral
questions about her,3,filter_Inf_1_frm01_s29.wav,Spectral,1,Brush fires are common in the dry underbrush of Nevada,73,Spectral_1,2,0.0,33,S 1,darkgreen
#,1,filter_12_Inf_frm01_s21.wav,Temporal,12,The tooth fairy forgot to come when Roger's tooth fell out,76,Temporal_12,2,0.0,0,T 12,cornflowerblue
fake connection,1,filter_Inf_1_frm01_s17.wav,Spectral,1,The sermon emphasized the need for afirmative action,79,Spectral_1,2,0.0,27,S 1,darkgreen
called,6,1_2.wav,Anchor_fullyIntelligible,0,she has no recollection ofthis phone call,82,Anchor_fullyIntelligible_0,2,0.0,21,Full,coral
#,2,filter_Inf_1_frm01_s02.wav,Spectral,1,Stop each car if it's little,85,Spectral_1,2,0.0,0,S 1,darkgreen
#,5,filter_12_Inf_frm01_s23.wav,Temporal,12,Special task forces rescue hostages from kidnappers,88,Temporal_12,2,0.0,0,T 12,cornflowerblue
work withus,5,filter_Inf_1_frm01_s22.wav,Spectral,1,Alice's ability to work without supervision is noteworthy,91,Spectral_1,2,1.7543859649122806,29,S 1,darkgreen
#,3,filter_Inf_1_frm01_s27.wav,Spectral,1,The fish began to leap frantically on the surface of the small lake,94,Spectral_1,2,0.0,0,S 1,darkgreen
