words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
#,3,filter_Inf_0.8_frm01_s16.wav,Spectral,0.8,Jeff thought you argued in favor of a centrifuge purchase,97,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
counting on it,5,filter_Inf_0.4_2_33.wav,Anchor_Spectral_unIntelligible,0.4,I wouldn't say I'm counting on it but it could happen,100,Anchor_Spectral_unIntelligible_0.4,2,5.660377358490567,42,S 0.4,limegreen
#,5,filter_14_Inf_frm01_s18.wav,Temporal,14,Kindergarten children decorate their classrooms for all holidays,103,Temporal_14,2,0.0,0,T 14,royalblue
#,1,filter_4_Inf_1_74.wav,Anchor_Temporal_unIntelligible,4,Everyone's an influencer shes says,106,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
how do we,5,filter_12_Inf_frm01_s30.wav,Temporal,12,How much will it cost to do any necessary modernizing and redecorating,109,Temporal_12,2,2.857142857142857,20,T 12,cornflowerblue
#,1,filter_4_Inf_2_21.wav,Anchor_Temporal_unIntelligible,4,The answer is in technology,112,Anchor_Temporal_unIntelligible_4,2,0.0,0,T 4,lightsteelblue
#,3,filter_14_Inf_frm01_s24.wav,Temporal,14,If Carol comes tomorrow have her arrange for a meeting at two,115,Temporal_14,2,0.0,0,T 14,royalblue
there was,3,filter_12_Inf_frm01_s09.wav,Temporal,12,Here I was in Miami and Illinois,118,Temporal_12,2,3.125,39,T 12,cornflowerblue
#,3,filter_Inf_0.8_frm01_s19.wav,Spectral,0.8,Cory and Trish played tag with beach balls for hours,121,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
#,3,filter_14_Inf_frm01_s33.wav,Temporal,14,The same shelter could be built into an embankment or below ground level,124,Temporal_14,2,0.0,0,T 14,royalblue
how could you do something like that,4,filter_Inf_0.4_2_53.wav,Anchor_Spectral_unIntelligible,0.4,I may need to do something like that,127,Anchor_Spectral_unIntelligible_0.4,2,11.11111111111111,69,S 0.4,limegreen
#,3,filter_Inf_0.8_frm01_s10.wav,Spectral,0.8,She had your dark suit in greasy wash water all year,130,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
large didnt i,4,filter_12_Inf_frm01_s28.wav,Temporal,12,The easygoing zoologist relaxed throughout the voyage,133,Temporal_12,2,0.0,24,T 12,cornflowerblue
she has always loved history,7,1_11.wav,Anchor_fullyIntelligible,0,She has always loved history,136,Anchor_fullyIntelligible_0,2,17.857142857142858,100,Full,coral
i hope i am not being deductive,5,6_41.wav,Anchor_fullyIntelligible,0,I hope I'm not beeing reductive,139,Anchor_fullyIntelligible_0,2,9.67741935483871,58,Full,coral
i didnt know what to think of this fearsome woman,6,6_17.wav,Anchor_fullyIntelligible,0,I didn't know what to think of this fearsome woman,142,Anchor_fullyIntelligible_0,2,18.0,97,Full,coral
#,1,filter_Inf_0.8_frm01_s01.wav,Spectral,0.8,If it doesn't matter who wins why do we keep score,145,Spectral_0.8,2,0.0,0,S 0.8,forestgreen
I do lik parties though,7,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,4,Anchor_fullyIntelligible_0,3,16.666666666666664,98,Full,coral
brother,2,filter_12_Inf_frm01_s20.wav,Temporal,12,The frightened child was gently subdued by his big brother,7,Temporal_12,3,1.7241379310344827,22,T 12,cornflowerblue
quick escape,2,filter_Inf_1_frm01_s07.wav,Spectral,1,Tina got cued to make a quicker escape,10,Spectral_1,3,2.631578947368421,48,S 1,darkgreen
Johnny missed the train,2,filter_Inf_0.8_frm01_s06.wav,Spectral,0.8,Charlie did you think to measure the tree,13,Spectral_0.8,3,2.4390243902439024,41,S 0.8,forestgreen
the article spa roof,2,filter_Inf_0.8_frm01_s14.wav,Spectral,0.8,We saw eight tiny icicles below our roof,16,Spectral_0.8,3,2.5,53,S 0.8,forestgreen
something you love and cherish,3,6_23.wav,Anchor_fullyIntelligible,0,If love is something you cherish,19,Anchor_fullyIntelligible_0,3,12.5,84,Full,coral
superb,2,filter_Inf_1_frm01_s12.wav,Spectral,1,A boring novel is a superb sleeping pill,22,Spectral_1,3,2.5,26,S 1,darkgreen
wash,2,filter_14_Inf_frm01_s10.wav,Temporal,14,She had your dark suit in greasy wash water all year,25,Temporal_14,3,1.9230769230769231,14,T 14,royalblue
you are paper,3,filter_14_Inf_frm01_s16.wav,Temporal,14,Jeff thought you argued in favor of a centrifuge purchase,28,Temporal_14,3,1.7543859649122806,31,T 14,royalblue
sixty five,2,filter_Inf_0.4_1_54.wav,Anchor_Spectral_unIntelligible,0.4,They married in 1965,31,Anchor_Spectral_unIntelligible_0.4,3,0.0,33,S 0.4,limegreen
modernising and redecoration,3,filter_Inf_1_frm01_s30.wav,Spectral,1,How much will it cost to do any necessary modernizing and redecorating,34,Spectral_1,3,1.4285714285714286,53,S 1,darkgreen
"It was quite a bit better, I liked it ",7,2_46.wav,Anchor_fullyIntelligible,0,It was quite a bit better I liked it,37,Anchor_fullyIntelligible_0,3,19.444444444444446,100,Full,coral
impression of Ireland,2,filter_14_Inf_frm01_s29.wav,Temporal,14,Brush fires are common in the dry underbrush of Nevada,40,Temporal_14,3,1.8518518518518516,37,T 14,royalblue
trades,2,filter_14_Inf_frm01_s32.wav,Temporal,14,Is a relaxed home atmosphere enough to help her outgrow these traits,43,Temporal_14,3,0.0,16,T 14,royalblue
Â£,1,filter_12_Inf_frm01_s28.wav,Temporal,12,The easygoing zoologist relaxed throughout the voyage,46,Temporal_12,3,0.0,0,T 12,cornflowerblue
like that,2,filter_12_Inf_frm01_s11.wav,Temporal,12,Don't ask me to carry an oily rag like that,49,Temporal_12,3,4.651162790697675,35,T 12,cornflowerblue
special task force kidnappers,4,filter_Inf_1_frm01_s23.wav,Spectral,1,Special task forces rescue hostages from kidnappers,52,Spectral_1,3,5.88235294117647,72,S 1,darkgreen
Â£,1,filter_4_Inf_1_34.wav,Anchor_Temporal_unIntelligible,4,They played anywhere they could draw a crowd,55,Anchor_Temporal_unIntelligible_4,3,0.0,0,T 4,lightsteelblue
picking up decorating holidays,2,filter_14_Inf_frm01_s18.wav,Temporal,14,Kindergarten children decorate their classrooms for all holidays,58,Temporal_14,3,1.5625,47,T 14,royalblue
needs medical assistance,3,filter_Inf_1_frm01_s13.wav,Spectral,1,Call an ambulance for medical assistance,61,Spectral_1,3,5.0,56,S 1,darkgreen
judges,2,filter_Inf_1_frm01_s08.wav,Spectral,1,Joe books very few judges,64,Spectral_1,3,4.0,39,S 1,darkgreen
arranged for a meeting at 2,4,filter_12_Inf_frm01_s24.wav,Temporal,12,If Carol comes tomorrow have her arrange for a meeting at two,67,Temporal_12,3,6.557377049180328,55,T 12,cornflowerblue
too afraid to come,2,filter_Inf_1_frm01_s21.wav,Spectral,1,The tooth fairy forgot to come when Roger's tooth fell out,70,Spectral_1,3,3.4482758620689653,34,S 1,darkgreen
has,1,filter_4_Inf_2_6.wav,Anchor_Temporal_unIntelligible,4,That's the ultimate awesome thing,73,Anchor_Temporal_unIntelligible_4,3,0.0,11,T 4,lightsteelblue
will help each other,3,filter_Inf_0.4_1_37.wav,Anchor_Spectral_unIntelligible,0.4,We were a team and we helped each other,76,Anchor_Spectral_unIntelligible_0.4,3,5.128205128205128,58,S 0.4,limegreen
That was not right,6,2_54.wav,Anchor_fullyIntelligible,0,And that was not right,79,Anchor_fullyIntelligible_0,3,18.181818181818183,90,Full,coral
overhead,2,filter_14_Inf_frm01_s03.wav,Temporal,14,Play in the street up ahead,82,Temporal_14,3,0.0,23,T 14,royalblue
The answer is in technology,7,2_21.wav,Anchor_fullyIntelligible,0,The answer is in technology,85,Anchor_fullyIntelligible_0,3,18.51851851851852,100,Full,coral
subject ground level,2,filter_14_Inf_frm01_s33.wav,Temporal,14,The same shelter could be built into an embankment or below ground level,88,Temporal_14,3,2.7777777777777777,35,T 14,royalblue
small a,2,filter_12_Inf_frm01_s27.wav,Temporal,12,The fish began to leap frantically on the surface of the small lake,91,Temporal_12,3,1.4925373134328357,19,T 12,cornflowerblue
wind,2,filter_12_Inf_frm01_s01.wav,Temporal,12,If it doesn't matter who wins why do we keep score,94,Temporal_12,3,0.0,11,T 12,cornflowerblue
caught speeding,2,filter_Inf_0.8_frm01_s04.wav,Spectral,0.8,A fifth wheel caught speeding,97,Spectral_0.8,3,6.896551724137931,68,S 0.8,forestgreen
I may need to do something like that,7,2_53.wav,Anchor_fullyIntelligible,0,I may need to do something like that,100,Anchor_fullyIntelligible_0,3,22.22222222222222,100,Full,coral
courage beetles,1,filter_Inf_0.8_frm01_s19.wav,Spectral,0.8,Cory and Trish played tag with beach balls for hours,103,Spectral_0.8,3,0.0,30,S 0.8,forestgreen
without supervision is not worthy,2,filter_Inf_0.8_frm01_s22.wav,Spectral,0.8,Alice's ability to work without supervision is noteworthy,106,Spectral_0.8,3,5.263157894736842,67,S 0.8,forestgreen
#,1,filter_4_Inf_2_33.wav,Anchor_Temporal_unIntelligible,4,I wouldn't say I'm counting on it but it could happen,109,Anchor_Temporal_unIntelligible_4,3,0.0,0,T 4,lightsteelblue
stop each car,2,filter_Inf_1_frm01_s02.wav,Spectral,1,Stop each car if it's little,112,Spectral_1,3,10.714285714285714,63,S 1,darkgreen
"She called her brother,Randy",7,1_1.wav,Anchor_fullyIntelligible,0,"she called her brother, Randy",115,Anchor_fullyIntelligible_0,3,10.344827586206897,100,Full,coral
There was,2,filter_Inf_0.8_frm01_s09.wav,Spectral,0.8,Here I was in Miami and Illinois,118,Spectral_0.8,3,3.125,39,S 0.8,forestgreen
Same as me,2,filter_Inf_0.8_frm01_s17.wav,Spectral,0.8,The sermon emphasized the need for afirmative action,121,Spectral_0.8,3,0.0,26,S 0.8,forestgreen
been two years,2,filter_12_Inf_frm01_s05.wav,Temporal,12,It's been about two years since Davey kept shotguns,124,Temporal_12,3,5.88235294117647,43,T 12,cornflowerblue
colour of the tree,3,filter_Inf_0.4_1_10.wav,Anchor_Spectral_unIntelligible,0.4,The film brings out all the tensions and colors of the time,127,Anchor_Spectral_unIntelligible_0.4,3,3.389830508474576,42,S 0.4,limegreen
she doesn't talk about anything but physical appearance,5,filter_12_Inf_frm01_s31.wav,Temporal,12,Was she just naturally sloppy about everything but her physical appearance,130,Temporal_12,3,6.756756756756757,62,T 12,cornflowerblue
Millitary peersonnel are expected to break every borders,5,filter_14_Inf_frm01_s25.wav,Temporal,14,Military personnel are expected to obey government orders,133,Temporal_14,3,5.263157894736842,60,T 14,royalblue
alright by me,3,filter_Inf_0.8_frm01_s26.wav,Spectral,0.8,Laugh dance and sing if fortune smiles upon you,136,Spectral_0.8,3,0.0,30,S 0.8,forestgreen
she has no recollection of this phone call,7,1_2.wav,Anchor_fullyIntelligible,0,she has no recollection ofthis phone call,139,Anchor_fullyIntelligible_0,3,14.634146341463413,89,Full,coral
wise to act while the window was open,4,filter_Inf_0.4_2_22.wav,Anchor_Spectral_unIntelligible,0.4,It seems like we would be wiser to act while the window is open,142,Anchor_Spectral_unIntelligible_0.4,3,9.523809523809524,70,S 0.4,limegreen
there was ,2,filter_4_Inf_6_22.wav,Anchor_Temporal_unIntelligible,4,Another bites the dust,145,Anchor_Temporal_unIntelligible_4,3,0.0,45,T 4,lightsteelblue
1965,2,filter_Inf_0.4_1_54.wav,Anchor_Spectral_unIntelligible,0.4,They married in 1965,4,Anchor_Spectral_unIntelligible_0.4,4,5.0,33,S 0.4,limegreen
#,1,filter_12_Inf_frm01_s02.wav,Temporal,12,Stop each car if it's little,7,Temporal_12,4,0.0,0,T 12,cornflowerblue
#,1,filter_Inf_0.8_frm01_s04.wav,Spectral,0.8,A fifth wheel caught speeding,10,Spectral_0.8,4,0.0,0,S 0.8,forestgreen
Everyone's an influencer she says.,7,1_74.wav,Anchor_fullyIntelligible,0,Everyone's an influencer shes says,13,Anchor_fullyIntelligible_0,4,8.823529411764707,99,Full,coral
She has always loved history.,6,1_11.wav,Anchor_fullyIntelligible,0,She has always loved history,16,Anchor_fullyIntelligible_0,4,14.285714285714285,100,Full,coral
And that was not right.,6,2_54.wav,Anchor_fullyIntelligible,0,And that was not right,19,Anchor_fullyIntelligible_0,4,18.181818181818183,100,Full,coral
"It seemed like we'd be wise to act, while the window was open.",6,2_22.wav,Anchor_fullyIntelligible,0,It seems like we would be wiser to act while the window is open,22,Anchor_fullyIntelligible_0,4,11.11111111111111,86,Full,coral
#,1,filter_14_Inf_frm01_s06.wav,Temporal,14,Charlie did you think to measure the tree,25,Temporal_14,4,0.0,0,T 14,royalblue
#,1,filter_Inf_0.8_frm01_s32.wav,Spectral,0.8,Is a relaxed home atmosphere enough to help her outgrow these traits,28,Spectral_0.8,4,0.0,0,S 0.8,forestgreen
#,1,filter_12_Inf_frm01_s14.wav,Temporal,12,We saw eight tiny icicles below our roof,31,Temporal_12,4,0.0,0,T 12,cornflowerblue
I didn't know what to think of this fearsome woman.,6,6_17.wav,Anchor_fullyIntelligible,0,I didn't know what to think of this fearsome woman,34,Anchor_fullyIntelligible_0,4,18.0,100,Full,coral
#,1,filter_4_Inf_6_22.wav,Anchor_Temporal_unIntelligible,4,Another bites the dust,37,Anchor_Temporal_unIntelligible_4,4,0.0,0,T 4,lightsteelblue
The film brings out all the tensions of colour of the time,6,1_10.wav,Anchor_fullyIntelligible,0,The film brings out all the tensions and colors of the time,40,Anchor_fullyIntelligible_0,4,13.559322033898304,92,Full,coral
There was,2,filter_Inf_1_frm01_s09.wav,Spectral,1,Here I was in Miami and Illinois,43,Spectral_1,4,3.125,39,S 1,darkgreen
technology,2,filter_Inf_0.4_2_21.wav,Anchor_Spectral_unIntelligible,0.4,The answer is in technology,46,Anchor_Spectral_unIntelligible_0.4,4,3.7037037037037033,54,S 0.4,limegreen
all year,2,filter_Inf_1_frm01_s10.wav,Spectral,1,She had your dark suit in greasy wash water all year,49,Spectral_1,4,3.8461538461538463,27,S 1,darkgreen
#,1,filter_4_Inf_2_6.wav,Anchor_Temporal_unIntelligible,4,That's the ultimate awesome thing,52,Anchor_Temporal_unIntelligible_4,4,0.0,0,T 4,lightsteelblue
She has no recollection of this phone call.,6,1_2.wav,Anchor_fullyIntelligible,0,she has no recollection ofthis phone call,55,Anchor_fullyIntelligible_0,4,12.195121951219512,89,Full,coral
#,2,filter_14_Inf_frm01_s18.wav,Temporal,14,Kindergarten children decorate their classrooms for all holidays,58,Temporal_14,4,0.0,0,T 14,royalblue
#,2,filter_14_Inf_frm01_s29.wav,Temporal,14,Brush fires are common in the dry underbrush of Nevada,61,Temporal_14,4,0.0,0,T 14,royalblue
#,1,filter_Inf_1_frm01_s03.wav,Spectral,1,Play in the street up ahead,64,Spectral_1,4,0.0,0,S 1,darkgreen
#,2,filter_Inf_0.8_frm01_s27.wav,Spectral,0.8,The fish began to leap frantically on the surface of the small lake,67,Spectral_0.8,4,0.0,0,S 0.8,forestgreen
Dont,1,filter_12_Inf_frm01_s11.wav,Temporal,12,Don't ask me to carry an oily rag like that,70,Temporal_12,4,0.0,17,T 12,cornflowerblue
Military personnel are expected to obey orders,3,filter_Inf_1_frm01_s25.wav,Spectral,1,Military personnel are expected to obey government orders,73,Spectral_1,4,12.280701754385964,89,S 1,darkgreen
judges,2,filter_12_Inf_frm01_s08.wav,Temporal,12,Joe books very few judges,76,Temporal_12,4,4.0,39,T 12,cornflowerblue
system,2,filter_Inf_0.8_frm01_s15.wav,Spectral,0.8,Each untimely income loss coincided with the breakdown of a heating system part,79,Spectral_0.8,4,1.2658227848101267,14,S 0.8,forestgreen
#,1,filter_12_Inf_frm01_s07.wav,Temporal,12,Tina got cued to make a quicker escape,82,Temporal_12,4,0.0,0,T 12,cornflowerblue
working without supervision worthy,4,filter_14_Inf_frm01_s22.wav,Temporal,14,Alice's ability to work without supervision is noteworthy,85,Temporal_14,4,3.508771929824561,53,T 14,royalblue
for that,2,filter_12_Inf_frm01_s21.wav,Temporal,12,The tooth fairy forgot to come when Roger's tooth fell out,88,Temporal_12,4,0.0,21,T 12,cornflowerblue
she naturally appearance,3,filter_14_Inf_frm01_s31.wav,Temporal,14,Was she just naturally sloppy about everything but her physical appearance,91,Temporal_14,4,4.054054054054054,49,T 14,royalblue
#,1,filter_Inf_0.8_frm01_s26.wav,Spectral,0.8,Laugh dance and sing if fortune smiles upon you,94,Spectral_0.8,4,0.0,0,S 0.8,forestgreen
arrange a meeting at two,3,filter_14_Inf_frm01_s24.wav,Temporal,14,If Carol comes tomorrow have her arrange for a meeting at two,97,Temporal_14,4,8.19672131147541,56,T 14,royalblue
#,1,filter_Inf_0.4_1_37.wav,Anchor_Spectral_unIntelligible,0.4,We were a team and we helped each other,100,Anchor_Spectral_unIntelligible_0.4,4,0.0,0,S 0.4,limegreen
easy going,1,filter_Inf_0.8_frm01_s28.wav,Spectral,0.8,The easygoing zoologist relaxed throughout the voyage,103,Spectral_0.8,4,0.0,29,S 0.8,forestgreen
people for hours,1,filter_Inf_0.8_frm01_s19.wav,Spectral,0.8,Cory and Trish played tag with beach balls for hours,106,Spectral_0.8,4,3.8461538461538463,38,S 0.8,forestgreen
#,1,filter_14_Inf_frm01_s12.wav,Temporal,14,A boring novel is a superb sleeping pill,109,Temporal_14,4,0.0,0,T 14,royalblue
#,1,filter_4_Inf_2_45.wav,Anchor_Temporal_unIntelligible,4,I do like parties though,112,Anchor_Temporal_unIntelligible_4,4,0.0,0,T 4,lightsteelblue
#,1,filter_4_Inf_2_38.wav,Anchor_Temporal_unIntelligible,4,The same will happen in other countries,115,Anchor_Temporal_unIntelligible_4,4,0.0,0,T 4,lightsteelblue
been about years,2,filter_Inf_1_frm01_s05.wav,Spectral,1,It's been about two years since Davey kept shotguns,118,Spectral_1,4,5.88235294117647,48,S 1,darkgreen
medical assistance,2,filter_Inf_1_frm01_s13.wav,Spectral,1,Call an ambulance for medical assistance,121,Spectral_1,4,5.0,62,S 1,darkgreen
#,1,filter_Inf_0.4_1_65.wav,Anchor_Spectral_unIntelligible,0.4,They exchanged gifts,124,Anchor_Spectral_unIntelligible_0.4,4,0.0,0,S 0.4,limegreen
friend big brother,2,filter_Inf_1_frm01_s20.wav,Spectral,1,The frightened child was gently subdued by his big brother,127,Spectral_1,4,3.4482758620689653,47,S 1,darkgreen
special hostages,2,filter_12_Inf_frm01_s23.wav,Temporal,12,Special task forces rescue hostages from kidnappers,130,Temporal_12,4,3.9215686274509802,48,T 12,cornflowerblue
cost modernising and redecorating,3,filter_Inf_0.8_frm01_s30.wav,Spectral,0.8,How much will it cost to do any necessary modernizing and redecorating,133,Spectral_0.8,4,4.285714285714286,62,S 0.8,forestgreen
#,2,filter_14_Inf_frm01_s01.wav,Temporal,14,If it doesn't matter who wins why do we keep score,136,Temporal_14,4,0.0,0,T 14,royalblue
affirmative action,2,filter_Inf_1_frm01_s17.wav,Spectral,1,The sermon emphasized the need for afirmative action,139,Spectral_1,4,1.9230769230769231,49,S 1,darkgreen
I hope they not be reductive,3,6_41.wav,Anchor_fullyIntelligible,0,I hope I'm not beeing reductive,142,Anchor_fullyIntelligible_0,4,12.903225806451612,78,Full,coral
just what,2,filter_12_Inf_frm01_s16.wav,Temporal,12,Jeff thought you argued in favor of a centrifuge purchase,145,Temporal_12,4,0.0,18,T 12,cornflowerblue
#,1,filter_Inf_0.8_frm01_s29.wav,Spectral,0.8,Brush fires are common in the dry underbrush of Nevada,4,Spectral_0.8,5,0.0,0,S 0.8,forestgreen
#,1,filter_14_Inf_frm01_s22.wav,Temporal,14,Alice's ability to work without supervision is noteworthy,7,Temporal_14,5,0.0,0,T 14,royalblue
technology,2,filter_Inf_0.4_2_21.wav,Anchor_Spectral_unIntelligible,0.4,The answer is in technology,10,Anchor_Spectral_unIntelligible_0.4,5,3.7037037037037033,54,S 0.4,limegreen
#,1,filter_14_Inf_frm01_s11.wav,Temporal,14,Don't ask me to carry an oily rag like that,13,Temporal_14,5,0.0,0,T 14,royalblue
She has always loved history. ,6,1_11.wav,Anchor_fullyIntelligible,0,She has always loved history,16,Anchor_fullyIntelligible_0,5,14.285714285714285,100,Full,coral
#,1,filter_Inf_0.8_frm01_s03.wav,Spectral,0.8,Play in the street up ahead,19,Spectral_0.8,5,0.0,0,S 0.8,forestgreen
#,1,filter_Inf_1_frm01_s28.wav,Spectral,1,The easygoing zoologist relaxed throughout the voyage,22,Spectral_1,5,0.0,0,S 1,darkgreen
#,1,filter_Inf_0.8_frm01_s07.wav,Spectral,0.8,Tina got cued to make a quicker escape,25,Spectral_0.8,5,0.0,0,S 0.8,forestgreen
#,1,filter_4_Inf_1_54.wav,Anchor_Temporal_unIntelligible,4,They married in 1965,28,Anchor_Temporal_unIntelligible_4,5,0.0,0,T 4,lightsteelblue
We're a team and we helped each other. ,6,1_37.wav,Anchor_fullyIntelligible,0,We were a team and we helped each other,31,Anchor_fullyIntelligible_0,5,15.384615384615385,89,Full,coral
It was quite a bit better. I liked it. ,6,2_46.wav,Anchor_fullyIntelligible,0,It was quite a bit better I liked it,34,Anchor_fullyIntelligible_0,5,19.444444444444446,100,Full,coral
#,1,filter_Inf_0.4_2_53.wav,Anchor_Spectral_unIntelligible,0.4,I may need to do something like that,37,Anchor_Spectral_unIntelligible_0.4,5,0.0,0,S 0.4,limegreen
#,1,filter_12_Inf_frm01_s16.wav,Temporal,12,Jeff thought you argued in favor of a centrifuge purchase,40,Temporal_12,5,0.0,0,T 12,cornflowerblue
#,1,filter_12_Inf_frm01_s02.wav,Temporal,12,Stop each car if it's little,43,Temporal_12,5,0.0,0,T 12,cornflowerblue
affirmative action. ,2,filter_Inf_1_frm01_s17.wav,Spectral,1,The sermon emphasized the need for afirmative action,46,Spectral_1,5,0.0,49,S 1,darkgreen
#,1,filter_4_Inf_2_45.wav,Anchor_Temporal_unIntelligible,4,I do like parties though,49,Anchor_Temporal_unIntelligible_4,5,0.0,0,T 4,lightsteelblue
#,2,filter_12_Inf_frm01_s12.wav,Temporal,12,A boring novel is a superb sleeping pill,52,Temporal_12,5,0.0,0,T 12,cornflowerblue
#,1,filter_Inf_0.4_1_33.wav,Anchor_Spectral_unIntelligible,0.4,They decided to do it anyway,55,Anchor_Spectral_unIntelligible_0.4,5,0.0,0,S 0.4,limegreen
#,1,filter_12_Inf_frm01_s31.wav,Temporal,12,Was she just naturally sloppy about everything but her physical appearance,58,Temporal_12,5,0.0,0,T 12,cornflowerblue
#,1,filter_Inf_1_frm01_s26.wav,Spectral,1,Laugh dance and sing if fortune smiles upon you,61,Spectral_1,5,0.0,0,S 1,darkgreen
#,1,filter_Inf_0.8_frm01_s27.wav,Spectral,0.8,The fish began to leap frantically on the surface of the small lake,64,Spectral_0.8,5,0.0,0,S 0.8,forestgreen
