words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
Charlie dont climb up the tree.,2,filter_Inf_0.4_frm01_s06.wav,Spectral,0.4,Charlie did you think to measure the tree,4,Spectral_0.4,1,4.878048780487805,62,S 0.4,forestgreen
The anesethologist relaxed throughtout the voyage,4,filter_6_Inf_frm01_s28.wav,Temporal,6,The easygoing zoologist relaxed throughout the voyage,7,Temporal_6,1,5.660377358490567,75,T 6,royalblue
I have arranged for a meeting at 2,4,filter_Inf_0.5_frm01_s24.wav,Spectral,0.5,If Carol comes tomorrow have her arrange for a meeting at two,10,Spectral_0.5,1,8.19672131147541,65,S 0.5,darkgreen
The is a superb sleeping pill,3,filter_6_Inf_frm01_s12.wav,Temporal,6,A boring novel is a superb sleeping pill,13,Temporal_6,1,12.5,72,T 6,royalblue
Jeff fought in favour of his purchase,3,filter_Inf_0.5_frm01_s16.wav,Spectral,0.5,Jeff thought you argued in favor of a centrifuge purchase,16,Spectral_0.5,1,7.017543859649122,57,S 0.5,darkgreen
#,1,filter_5.5_Inf_frm01_s08.wav,Temporal,5.5,Joe books very few judges,19,Temporal_5.5,1,0.0,0,T 5.5,cornflowerblue
The film brings out all the tensions and colour of the time,7,1_10.wav,Anchor_fullyIntelligible,0,The film brings out all the tensions and colors of the time,22,Anchor_fullyIntelligible_0,1,15.254237288135593,98,Full,coral
#,1,filter_2_Inf_1_37.wav,Anchor_Temporal_unIntelligible,2,We were a team and we helped each other,25,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
Its been about 2 years since hayley ,5,filter_6_Inf_frm01_s05.wav,Temporal,6,It's been about two years since Davey kept shotguns,28,Temporal_6,1,7.8431372549019605,70,T 6,royalblue
expected to follow orders,3,filter_Inf_0.5_frm01_s25.wav,Spectral,0.5,Military personnel are expected to obey government orders,31,Spectral_0.5,1,5.263157894736842,54,S 0.5,darkgreen
children decorate their classrooms for all holidays,5,filter_Inf_0.5_frm01_s18.wav,Spectral,0.5,Kindergarten children decorate their classrooms for all holidays,34,Spectral_0.5,1,10.9375,89,S 0.5,darkgreen
#,1,filter_Inf_0.2_1_73.wav,Anchor_Spectral_unIntelligible,0.2,This is the right thing to do,37,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
the relaxed home atmosphere ,4,filter_6_Inf_frm01_s32.wav,Temporal,6,Is a relaxed home atmosphere enough to help her outgrow these traits,40,Temporal_6,1,4.411764705882353,57,T 6,royalblue
The frightened child was generally subdubed by his big brother. ,6,filter_Inf_0.5_frm01_s20.wav,Spectral,0.5,The frightened child was gently subdued by his big brother,43,Spectral_0.5,1,12.068965517241379,95,S 0.5,darkgreen
She had a dark state of all year,4,filter_Inf_0.4_frm01_s10.wav,Spectral,0.4,She had your dark suit in greasy wash water all year,46,Spectral_0.4,1,9.615384615384617,67,S 0.4,forestgreen
Another one bites the dust,7,6_22.wav,Anchor_fullyIntelligible,0,Another bites the dust,49,Anchor_fullyIntelligible_0,1,18.181818181818183,92,Full,coral
And that was not right,7,2_54.wav,Anchor_fullyIntelligible,0,And that was not right,52,Anchor_fullyIntelligible_0,1,22.727272727272727,100,Full,coral
This certain exercise needed affimative action ,5,filter_5.5_Inf_frm01_s17.wav,Temporal,5.5,The sermon emphasized the need for afirmative action,55,Temporal_5.5,1,1.9230769230769231,63,T 5.5,cornflowerblue
memory ,2,filter_5.5_Inf_frm01_s30.wav,Temporal,5.5,How much will it cost to do any necessary modernizing and redecorating,58,Temporal_5.5,1,0.0,13,T 5.5,cornflowerblue
For interest played beach ball for hours,3,filter_Inf_0.4_frm01_s19.wav,Spectral,0.4,Cory and Trish played tag with beach balls for hours,61,Spectral_0.4,1,7.6923076923076925,65,S 0.4,forestgreen
The storm shelter can be build into an enbankment below ground level,5,filter_Inf_0.4_frm01_s33.wav,Spectral,0.4,The same shelter could be built into an embankment or below ground level,64,Spectral_0.4,1,11.11111111111111,83,S 0.4,forestgreen
wheel or stealing,2,filter_6_Inf_frm01_s04.wav,Temporal,6,A fifth wheel caught speeding,67,Temporal_6,1,3.4482758620689653,52,T 6,royalblue
If it doesnt matter if we win why do we keep score,6,filter_Inf_0.4_frm01_s01.wav,Spectral,0.4,If it doesn't matter who wins why do we keep score,70,Spectral_0.4,1,16.0,90,S 0.4,forestgreen
having to work with supervision is no fun,4,filter_5.5_Inf_frm01_s22.wav,Temporal,5.5,Alice's ability to work without supervision is noteworthy,73,Temporal_5.5,1,7.017543859649122,69,T 5.5,cornflowerblue
#,1,filter_Inf_0.2_2_53.wav,Anchor_Spectral_unIntelligible,0.2,I may need to do something like that,76,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
hello,2,filter_2_Inf_6_41.wav,Anchor_Temporal_unIntelligible,2,I hope I'm not beeing reductive,79,Anchor_Temporal_unIntelligible_2,1,0.0,17,T 2,lightsteelblue
russia,2,filter_6_Inf_frm01_s29.wav,Temporal,6,Brush fires are common in the dry underbrush of Nevada,82,Temporal_6,1,0.0,20,T 6,royalblue
each breakdown of the heating system part,4,filter_Inf_0.5_frm01_s15.wav,Spectral,0.5,Each untimely income loss coincided with the breakdown of a heating system part,85,Spectral_0.5,1,8.860759493670885,68,S 0.5,darkgreen
I didnt know what to think of this fearsome woman. ,7,6_17.wav,Anchor_fullyIntelligible,0,I didn't know what to think of this fearsome woman,88,Anchor_fullyIntelligible_0,1,16.0,97,Full,coral
each child be civil,3,filter_5.5_Inf_frm01_s02.wav,Temporal,5.5,Stop each car if it's little,91,Temporal_5.5,1,3.571428571428571,38,T 5.5,cornflowerblue
great escape,2,filter_5.5_Inf_frm01_s07.wav,Temporal,5.5,Tina got cued to make a quicker escape,94,Temporal_5.5,1,2.631578947368421,44,T 5.5,cornflowerblue
They exchnaged gifts,7,1_65.wav,Anchor_fullyIntelligible,0,They exchanged gifts,97,Anchor_fullyIntelligible_0,1,10.0,95,Full,coral
#,1,filter_2_Inf_1_54.wav,Anchor_Temporal_unIntelligible,2,They married in 1965,100,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
We saw 8 obstaclbes below our roof,4,filter_6_Inf_frm01_s14.wav,Temporal,6,We saw eight tiny icicles below our roof,103,Temporal_6,1,12.5,73,T 6,royalblue
The toothfairy helped pull roberts tooth out,5,filter_6_Inf_frm01_s21.wav,Temporal,6,The tooth fairy forgot to come when Roger's tooth fell out,106,Temporal_6,1,5.172413793103448,57,T 6,royalblue
#,1,filter_2_Inf_1_2.wav,Anchor_Temporal_unIntelligible,2,she has no recollection ofthis phone call,109,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
patience,2,filter_Inf_0.2_2_38.wav,Anchor_Spectral_unIntelligible,0.2,The same will happen in other countries,112,Anchor_Spectral_unIntelligible_0.2,1,0.0,21,S 0.2,limegreen
I wouldnt say im counting onit but it could happen,7,2_33.wav,Anchor_fullyIntelligible,0,I wouldn't say I'm counting on it but it could happen,115,Anchor_fullyIntelligible_0,1,13.20754716981132,89,Full,coral
playing spree up ahead,4,filter_Inf_0.5_frm01_s03.wav,Spectral,0.5,Play in the street up ahead,118,Spectral_0.5,1,7.4074074074074066,73,S 0.5,darkgreen
the kitchen smells funny,4,filter_5.5_Inf_frm01_s26.wav,Temporal,5.5,Laugh dance and sing if fortune smiles upon you,121,Temporal_5.5,1,0.0,37,T 5.5,cornflowerblue
I do like parties though,7,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,124,Anchor_fullyIntelligible_0,1,20.833333333333336,100,Full,coral
awful time,2,filter_Inf_0.2_2_6.wav,Anchor_Spectral_unIntelligible,0.2,That's the ultimate awesome thing,127,Anchor_Spectral_unIntelligible_0.2,1,0.0,37,S 0.2,limegreen
Why she has to physical appearance ,4,filter_Inf_0.5_frm01_s31.wav,Spectral,0.5,Was she just naturally sloppy about everything but her physical appearance,130,Spectral_0.5,1,4.054054054054054,56,S 0.5,darkgreen
Special task forces rescue hostages from kidnappers,6,filter_5.5_Inf_frm01_s23.wav,Temporal,5.5,Special task forces rescue hostages from kidnappers,133,Temporal_5.5,1,13.725490196078432,100,T 5.5,cornflowerblue
She called her brother randy,7,1_1.wav,Anchor_fullyIntelligible,0,"she called her brother, Randy",136,Anchor_fullyIntelligible_0,1,13.793103448275861,100,Full,coral
Carry around like that ,3,filter_Inf_0.4_frm01_s11.wav,Spectral,0.4,Don't ask me to carry an oily rag like that,139,Spectral_0.4,1,6.976744186046512,55,S 0.4,forestgreen
She was mildy annoyed,3,filter_Inf_0.4_frm01_s09.wav,Spectral,0.4,Here I was in Miami and Illinois,142,Spectral_0.4,1,3.125,42,S 0.4,forestgreen
The fish began to leap frantically on the surface of the small lake,6,filter_Inf_0.4_frm01_s27.wav,Spectral,0.4,The fish began to leap frantically on the surface of the small lake,145,Spectral_0.4,1,16.417910447761194,100,S 0.4,forestgreen
That's the ultimate awesome thing,7,2_6.wav,Anchor_fullyIntelligible,0,That's the ultimate awesome thing,4,Anchor_fullyIntelligible_0,2,15.151515151515152,100,Full,coral
ahead,2,filter_6_Inf_frm01_s03.wav,Temporal,6,Play in the street up ahead,7,Temporal_6,2,3.7037037037037033,31,T 6,royalblue
on the small ,2,filter_Inf_0.4_frm01_s27.wav,Spectral,0.4,The fish began to leap frantically on the surface of the small lake,10,Spectral_0.4,2,4.477611940298507,30,S 0.4,forestgreen
if cal comes tomorrow ill arrange a meeting at 2,2,filter_Inf_0.4_frm01_s24.wav,Spectral,0.4,If Carol comes tomorrow have her arrange for a meeting at two,13,Spectral_0.4,2,11.475409836065573,79,S 0.4,forestgreen
ground level,1,filter_6_Inf_frm01_s33.wav,Temporal,6,The same shelter could be built into an embankment or below ground level,16,Temporal_6,2,2.7777777777777777,29,T 6,royalblue
she has always loved history,7,1_11.wav,Anchor_fullyIntelligible,0,She has always loved history,19,Anchor_fullyIntelligible_0,2,17.857142857142858,100,Full,coral
big brother ,2,filter_Inf_0.4_frm01_s20.wav,Spectral,0.4,The frightened child was gently subdued by his big brother,22,Spectral_0.4,2,3.4482758620689653,32,S 0.4,forestgreen
#,1,filter_Inf_0.2_1_65.wav,Anchor_Spectral_unIntelligible,0.2,They exchanged gifts,25,Anchor_Spectral_unIntelligible_0.2,2,0.0,0,S 0.2,limegreen
zoe drink,2,filter_6_Inf_frm01_s06.wav,Temporal,6,Charlie did you think to measure the tree,28,Temporal_6,2,0.0,32,T 6,royalblue
common when you brush,2,filter_Inf_0.5_frm01_s29.wav,Spectral,0.5,Brush fires are common in the dry underbrush of Nevada,31,Spectral_0.5,2,3.7037037037037033,48,S 0.5,darkgreen
#,1,filter_6_Inf_frm01_s30.wav,Temporal,6,How much will it cost to do any necessary modernizing and redecorating,34,Temporal_6,2,0.0,0,T 6,royalblue
they played anywhere they could draw a crowd,7,1_34.wav,Anchor_fullyIntelligible,0,They played anywhere they could draw a crowd,37,Anchor_fullyIntelligible_0,2,15.909090909090908,100,Full,coral
#,1,filter_5.5_Inf_frm01_s19.wav,Temporal,5.5,Cory and Trish played tag with beach balls for hours,40,Temporal_5.5,2,0.0,0,T 5.5,cornflowerblue
#,1,filter_5.5_Inf_frm01_s21.wav,Temporal,5.5,The tooth fairy forgot to come when Roger's tooth fell out,43,Temporal_5.5,2,0.0,0,T 5.5,cornflowerblue
#,1,filter_Inf_0.2_1_1.wav,Anchor_Spectral_unIntelligible,0.2,"she called her brother, Randy",46,Anchor_Spectral_unIntelligible_0.2,2,0.0,0,S 0.2,limegreen
the relaxed throughout the voyage,3,filter_Inf_0.5_frm01_s28.wav,Spectral,0.5,The easygoing zoologist relaxed throughout the voyage,49,Spectral_0.5,2,7.547169811320755,77,S 0.5,darkgreen
miami,1,filter_Inf_0.5_frm01_s09.wav,Spectral,0.5,Here I was in Miami and Illinois,52,Spectral_0.5,2,3.125,27,S 0.5,darkgreen
#,1,filter_2_Inf_1_54.wav,Anchor_Temporal_unIntelligible,2,They married in 1965,55,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
#,1,filter_Inf_0.2_1_74.wav,Anchor_Spectral_unIntelligible,0.2,Everyone's an influencer shes says,58,Anchor_Spectral_unIntelligible_0.2,2,0.0,0,S 0.2,limegreen
#,1,filter_2_Inf_1_37.wav,Anchor_Temporal_unIntelligible,2,We were a team and we helped each other,61,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
this is the right thing to do,7,1_73.wav,Anchor_fullyIntelligible,0,This is the right thing to do,64,Anchor_fullyIntelligible_0,2,24.137931034482758,100,Full,coral
decided to read for ,4,filter_Inf_0.4_frm01_s17.wav,Spectral,0.4,The sermon emphasized the need for afirmative action,67,Spectral_0.4,2,1.9230769230769231,37,S 0.4,forestgreen
everything on physical appearance,4,filter_Inf_0.4_frm01_s31.wav,Spectral,0.4,Was she just naturally sloppy about everything but her physical appearance,70,Spectral_0.4,2,4.054054054054054,60,S 0.4,forestgreen
less resistance ,2,filter_6_Inf_frm01_s13.wav,Temporal,6,Call an ambulance for medical assistance,73,Temporal_6,2,0.0,40,T 6,royalblue
i didnt know what to think of this fearsome woman,7,6_17.wav,Anchor_fullyIntelligible,0,I didn't know what to think of this fearsome woman,76,Anchor_fullyIntelligible_0,2,18.0,97,Full,coral
love laugh and sing if fortune falls upon you,6,filter_Inf_0.5_frm01_s26.wav,Spectral,0.5,Laugh dance and sing if fortune smiles upon you,79,Spectral_0.5,2,14.893617021276595,78,S 0.5,darkgreen
you think thats the easy thing,3,filter_5.5_Inf_frm01_s05.wav,Temporal,5.5,It's been about two years since Davey kept shotguns,82,Temporal_5.5,2,0.0,40,T 5.5,cornflowerblue
each income and loss coincided with the breakdown of a part,5,filter_Inf_0.5_frm01_s15.wav,Spectral,0.5,Each untimely income loss coincided with the breakdown of a heating system part,85,Spectral_0.5,2,12.658227848101266,80,S 0.5,darkgreen
work without supervision was noteworthy,4,filter_Inf_0.5_frm01_s22.wav,Spectral,0.5,Alice's ability to work without supervision is noteworthy,88,Spectral_0.5,2,7.017543859649122,75,S 0.5,darkgreen
all holidays,3,filter_6_Inf_frm01_s18.wav,Temporal,6,Kindergarten children decorate their classrooms for all holidays,91,Temporal_6,2,3.125,32,T 6,royalblue
she was dancing waffles all year,3,filter_6_Inf_frm01_s10.wav,Temporal,6,She had your dark suit in greasy wash water all year,94,Temporal_6,2,5.769230769230769,57,T 6,royalblue
special task force rescued from kidnappers ,5,filter_Inf_0.4_frm01_s23.wav,Spectral,0.4,Special task forces rescue hostages from kidnappers,97,Spectral_0.4,2,7.8431372549019605,88,S 0.4,forestgreen
the same will happen in other countries ,7,2_38.wav,Anchor_fullyIntelligible,0,The same will happen in other countries,100,Anchor_fullyIntelligible_0,2,17.94871794871795,100,Full,coral
#,1,filter_2_Inf_1_33.wav,Anchor_Temporal_unIntelligible,2,They decided to do it anyway,103,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
i wouldnt say im counting on it but it could happen,7,2_33.wav,Anchor_fullyIntelligible,0,I wouldn't say I'm counting on it but it could happen,106,Anchor_fullyIntelligible_0,2,15.09433962264151,94,Full,coral
we saw 8 on our roof,5,filter_5.5_Inf_frm01_s14.wav,Temporal,5.5,We saw eight tiny icicles below our roof,109,Temporal_5.5,2,10.0,57,T 5.5,cornflowerblue
stop each car,3,filter_6_Inf_frm01_s02.wav,Temporal,6,Stop each car if it's little,112,Temporal_6,2,10.714285714285714,63,T 6,royalblue
will soon,2,filter_5.5_Inf_frm01_s04.wav,Temporal,5.5,A fifth wheel caught speeding,115,Temporal_5.5,2,0.0,26,T 5.5,cornflowerblue
colours ,2,filter_5.5_Inf_frm01_s08.wav,Temporal,5.5,Joe books very few judges,118,Temporal_5.5,2,0.0,25,T 5.5,cornflowerblue
#,1,filter_Inf_0.2_2_21.wav,Anchor_Spectral_unIntelligible,0.2,The answer is in technology,121,Anchor_Spectral_unIntelligible_0.2,2,0.0,0,S 0.2,limegreen
jumped the queue to make a quicker escape,4,filter_Inf_0.5_frm01_s07.wav,Spectral,0.5,Tina got cued to make a quicker escape,124,Spectral_0.5,2,13.157894736842104,68,S 0.5,darkgreen
i do like parties though,7,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,127,Anchor_fullyIntelligible_0,2,20.833333333333336,100,Full,coral
yes favourable since,3,filter_5.5_Inf_frm01_s16.wav,Temporal,5.5,Jeff thought you argued in favor of a centrifuge purchase,130,Temporal_5.5,2,0.0,31,T 5.5,cornflowerblue
#,1,filter_5.5_Inf_frm01_s12.wav,Temporal,5.5,A boring novel is a superb sleeping pill,133,Temporal_5.5,2,0.0,0,T 5.5,cornflowerblue
personnel are expected to obey government orders,5,filter_Inf_0.4_frm01_s25.wav,Spectral,0.4,Military personnel are expected to obey government orders,136,Spectral_0.4,2,12.280701754385964,91,S 0.4,forestgreen
if it doesnt matter who wins why do we keep score ,7,filter_Inf_0.5_frm01_s01.wav,Spectral,0.5,If it doesn't matter who wins why do we keep score,139,Spectral_0.5,2,20.0,97,S 0.5,darkgreen
relaxed atmosphere to help her outgrow these traits,5,filter_Inf_0.4_frm01_s32.wav,Spectral,0.4,Is a relaxed home atmosphere enough to help her outgrow these traits,142,Spectral_0.4,2,11.76470588235294,86,S 0.4,forestgreen
#,1,filter_2_Inf_2_46.wav,Anchor_Temporal_unIntelligible,2,It was quite a bit better I liked it,145,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
#,1,filter_Inf_0.2_1_33.wav,Anchor_Spectral_unIntelligible,0.2,They decided to do it anyway,4,Anchor_Spectral_unIntelligible_0.2,3,0.0,0,S 0.2,limegreen
Favourite purchase,1,filter_5.5_Inf_frm01_s16.wav,Temporal,5.5,Jeff thought you argued in favor of a centrifuge purchase,7,Temporal_5.5,3,1.7543859649122806,43,T 5.5,cornflowerblue
