words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
#,1,filter_Inf_0.4_6_41.wav,Anchor_Spectral_unIntelligible,0.4,I hope I'm not beeing reductive,7,Anchor_Spectral_unIntelligible_0.4,9,0.0,0,S 0.4,limegreen
that's the ultimate awesome thing,7,2_6.wav,Anchor_fullyIntelligible,0,That's the ultimate awesome thing,10,Anchor_fullyIntelligible_0,9,15.151515151515152,100,Full,coral
the film brings out all the tension all the time,6,1_10.wav,Anchor_fullyIntelligible,0,The film brings out all the tensions and colors of the time,13,Anchor_fullyIntelligible_0,9,10.16949152542373,86,Full,coral
#,1,filter_20_Inf_frm01_s27.wav,Temporal,20,The fish began to leap frantically on the surface of the small lake,16,Temporal_20,9,0.0,0,T 20,cornflowerblue
#,1,filter_4_Inf_1_34.wav,Anchor_Temporal_unIntelligible,4,They played anywhere they could draw a crowd,19,Anchor_Temporal_unIntelligible_4,9,0.0,0,T 4,lightsteelblue
#,1,filter_20_Inf_frm01_s26.wav,Temporal,20,Laugh dance and sing if fortune smiles upon you,22,Temporal_20,9,0.0,0,T 20,cornflowerblue
traits,2,filter_Inf_1.2_frm01_s32.wav,Spectral,1.2,Is a relaxed home atmosphere enough to help her outgrow these traits,25,Spectral_1.2,9,1.4705882352941175,16,S 1.2,forestgreen
#,1,filter_20_Inf_frm01_s02.wav,Temporal,20,Stop each car if it's little,28,Temporal_20,9,0.0,0,T 20,cornflowerblue
he's going,2,filter_Inf_1.2_frm01_s28.wav,Spectral,1.2,The easygoing zoologist relaxed throughout the voyage,31,Spectral_1.2,9,0.0,32,S 1.2,forestgreen
just thought you purchase,2,filter_23_Inf_frm01_s16.wav,Temporal,23,Jeff thought you argued in favor of a centrifuge purchase,34,Temporal_23,9,5.263157894736842,56,T 23,royalblue
arrange a meeting at two,2,filter_Inf_1.2_frm01_s24.wav,Spectral,1.2,If Carol comes tomorrow have her arrange for a meeting at two,37,Spectral_1.2,9,8.19672131147541,56,S 1.2,forestgreen
